8.527164459228515625e-01,1.377700567245483398e+00,2.932180404663085938e+00,6.455924987792968750e+00
8.292410373687744141e-01,1.126030921936035156e+00,2.038318872451782227e+00,4.062825679779052734e+00
8.777580261230468750e-01,1.124068737030029297e+00,2.010114431381225586e+00,3.966689586639404297e+00
9.831731319427490234e-01,1.161589145660400391e+00,1.971355199813842773e+00,3.739448070526123047e+00
1.051429748535156250e+00,1.283246278762817383e+00,2.100706100463867188e+00,3.894949674606323242e+00
1.128654241561889648e+00,1.414912462234497070e+00,2.202995777130126953e+00,4.123162269592285156e+00
1.224259138107299805e+00,1.464561939239501953e+00,2.323069334030151367e+00,4.130108594894409180e+00
1.367612600326538086e+00,1.593538761138916016e+00,2.572953462600708008e+00,4.584887504577636719e+00
1.455580711364746094e+00,1.667797088623046875e+00,2.518355369567871094e+00,4.469072580337524414e+00
1.529201984405517578e+00,1.804811716079711914e+00,2.731244325637817383e+00,4.715962409973144531e+00
